title,n_enrolled_normalised,ratings_normalised,"ratio(n_rating,n_enrolled)",id
Leadership Skills,0.0,0.0521739130434783,0.0,166
Data Structures and Algorithms,0.1086421727324943,-0.0347826086956522,0.0392824206886814,167
Digital Marketing,0.0264819722207717,0.0086956521739132,0.2067163719267977,168
Foundations of Positive Psychology,0.0219195472821262,0.0521739130434783,0.1007518796992481,169
Bookkeeping Basics,0.0535814056707221,-0.0347826086956522,0.0273416087025374,170
Regulatory Compliance,0.0094756801211424,0.0521739130434783,0.0700533838470811,171
Pharmacy Technician Fundamentals,0.0009487102501174,0.0521739130434783,0.0209838321293429,172
Applied Data Science with R,0.0011487650775416,-0.0782608695652172,0.037215909090909,173
"NoSQL, Big Data, and Spark Foundations",0.0007000287191269,-0.0782608695652172,0.068065268065268,174
Project Execution: Running the Project,0.1077163072424416,0.0521739130434783,0.0235805611101011,175
Business Analytics with Excel: Elementary to Advanced,0.0,0.0521739130434783,0.0,176
Improve Your English Communication Skills,0.2057444780951386,0.0086956521739132,0.0253222383310544,177
People and Soft Skills for Professional and Personal Success,0.0064432013994047,-0.0347826086956522,0.0232487463911259,178
Preparing for Google Cloud Certification: Machine Learning Engineer,0.0006017962508485,-0.0782608695652172,0.5,179
AI for Medicine,0.0143543418098271,0.0086956521739132,0.0475400145507457,180
ChatGPT Advanced Data Analysis,0.0124654065061876,0.0956521739130437,0.0074091527908681,181
Generative Adversarial Networks (GANs),0.013136716098376,0.0086956521739132,0.0524681390206941,182
Data Science,0.1588993394600804,-0.0782608695652172,0.0793706214712472,183
Algorithms,0.0376086757871651,0.0521739130434783,0.0481434236673348,184
Salesforce Sales Operations,0.0157889927418933,-0.0347826086956522,0.0248656469615543,185
Getting started with Google Workspace,0.0024159965537047,0.0086956521739132,0.1415642307172767,186
Microsoft Azure Data Engineering Associate (DP-203),0.010504999738917,-0.1217391304347823,0.0256609400726956,187
Introduction to Programming with Python and Java,0.0164247297791238,-0.0782608695652172,0.0237044984899062,188
Software Product Management,0.0260808835047778,0.0086956521739132,0.1095024776014815,189
"Unsupervised Learning, Recommenders, Reinforcement Learning",0.0565747219466346,0.0956521739130437,0.0148366925481961,190
OKR Certification: Leadership and Goal Setting,0.0,0.0956521739130437,0.0,191
Preparing for Google Cloud Certification: Cloud Data Engineer,0.0281440916923398,-0.0347826086956522,0.0799763445348918,192
Google Cloud Digital Leader Training,0.0008615738081562,0.0521739130434783,0.5,193
Reinforcement Learning,0.0166962560701791,0.0086956521739132,0.061845191555903,194
Security Analyst Fundamentals,0.0034081118479452,0.0086956521739132,0.0783299818059944,195
Genomic Data Science,0.0086336875358989,-0.0782608695652172,0.2057456057456057,196
Psychological First Aid,0.0,0.0521739130434783,0.0,197
Data Science: Foundations using R,0.034199258524359,-0.0347826086956522,0.0571513092602488,198
Programming for Everybody (Getting Started with Python),1.0,0.0521739130434783,0.0739129157746331,199
Certified in Cybersecurity,0.0039058012636415,0.0521739130434783,0.0274064171122994,200
Operating Systems and You: Becoming a Power User,0.1595716281134144,0.0086956521739132,0.0555697582385219,201
Analyze Data to Answer Questions,0.1748129993211842,-0.0347826086956522,0.0193725438948576,202
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",0.1766474335543836,0.0956521739130437,0.1161182095640671,203
Successful Negotiation: Essential Strategies and Skills,0.0,0.0521739130434783,0.0,204
"Data Engineering, Big Data, and Machine Learning on GCP",0.0194216359459036,-0.0347826086956522,0.2072726050646099,205
Fintech: Foundations & Applications of Financial Technology,0.014478029867892,-0.0347826086956522,0.0782859590199039,206
Excel Basics for Data Analysis,0.0981100856352148,0.0521739130434783,0.024495634095634,207
Mathematics for Machine Learning,0.066894352775312,-0.0347826086956522,0.0616709354799365,208
Tools for Data Science,0.1466343141350321,-0.0782608695652172,0.0628317579582961,209
Achieving Personal and Professional Success,0.0,0.0086956521739132,0.0,210
Data Analysis with R Programming,0.1711496788679442,0.0521739130434783,0.0182026199874149,211
Foundations of Management,0.0111847945277009,0.0521739130434783,0.0552929505135387,212
Cybersécurité Google,0.0014454206046681,0.0521739130434783,0.0433506434861142,213
Strategic Leadership and Management,0.038595243068247,0.0521739130434783,0.0533561076254418,214
